tv_id,smuggle_url,success,rst,blockpage,timeout_afterhs,timeout_beforehs,other,cn_success_rate
TE-postspace-1f-TE.CL,www.uyghurnet.org/,2,73,0,25,0,0,0.02
CL-XX-b2-b2-XX-CL.TE,freetibet.org/,2,81,0,17,0,0,0.02
CL-91-XX-XX-91-CL.TE,www.uyghurnet.org/,2,73,0,25,0,0,0.02
CL-XX-bf-XX-bf-CL.TE,freetibet.org/,2,73,0,25,0,0,0.02
CL-XX-a2-XX-a2-CL.TE,freetibet.org/,2,72,0,26,0,0,0.02
CL-XX-XX-10-10-CL.TE,www.uyghurnet.org/,2,77,0,21,0,0,0.02
TE-1e-1e-XX-XX-TE.CL,www.uyghurnet.org/,2,78,0,20,0,0,0.02
CL-aa-aa-XX-XX-CL.TE,freetibet.org/,2,70,0,28,0,0,0.02
CL-endspace-04-CL.TE,www.uyghurnet.org/,2,77,0,21,0,0,0.02
TE-1d-XX-XX-1d-TE.CL,freetibet.org/,2,72,0,26,0,0,0.02
TE-XX-20-XX-20-TE.CL,freetibet.org/,2,80,0,18,0,0,0.02
TE-ae-ae-XX-XX-TE.CL,www.uyghurnet.org/,2,77,0,21,0,0,0.02
CL-XX-XX-a9-a9-CL.TE,www.uyghurnet.org/,2,78,0,20,0,0,0.02
CL-d6-XX-d6-XX-CL.TE,www.uyghurnet.org/,2,72,0,26,0,0,0.02
CL-XX-1c-1c-XX-CL.TE,freetibet.org/,2,84,0,14,0,0,0.02
CL-eb-XX-XX-eb-CL.TE,www.uyghurnet.org/,2,75,0,23,0,0,0.02
TE-XX-9a-9a-XX-TE.CL,freetibet.org/,2,75,0,23,0,0,0.02
TE-d9-d9-XX-XX-TE.CL,www.uyghurnet.org/,2,78,0,20,0,0,0.02
CL-XX-XX-eb-eb-CL.TE,freetibet.org/,2,76,0,22,0,0,0.02
TE-xprespace-09-TE.CL,www.uyghurnet.org/,2,80,0,18,0,0,0.02
TE-0b-XX-0b-XX-TE.CL,www.uyghurnet.org/,2,73,0,25,0,0,0.02
TE-rxprespace-04-TE.CL,www.uyghurnet.org/,2,65,0,33,0,0,0.02
TE-XX-89-89-XX-TE.CL,www.uyghurnet.org/,2,64,0,34,0,0,0.02
TE-XX-06-06-XX-TE.CL,www.uyghurnet.org/,2,71,0,27,0,0,0.02
CL-XX-XX-c3-c3-CL.TE,www.uyghurnet.org/,2,73,0,25,0,0,0.02
